author,message,timestamp
@Minh_Trí_nè,tội em nó,40:56
@TuNguyen-fv9xl,team late la win r do team ga qua,41:07
@MinhNguyen-wj2zj,Bảo sao không đi đc sea game ,41:08
@trungnguyenngoc7926,:)))),41:11
@resolute2598,,41:21
@BichNu-x7y,,41:27
@KienMinh-iv8eg,=))))),41:29
@anluu6094,:)))))))))),41:36
@TraiLe-ri7yu,Chấp hẳn team bạn 1 sao:)),41:50
@uctranphuc624,adc taara hơi gà,42:06
@KienMinh-iv8eg,nhờ người cày giùm giờ vô leo đánh ao trình quá,42:11
@Hieu-HighLigh0,đệ ruột của du ca fa nia ,42:23
@Hieu-HighLigh0,sines thập tự kiếm đi =))),44:24
@vluongw,10 mạng 2 lít anh zai,45:03
@TaihPahm,Sines gươm sấm sét =))),45:13
@huynguyen877,cary the glass nhé chiến,45:27
@ducanh88f1,anh chien momm,45:53
@TaihPahm,Team kia sines gươm sấm sét quá đẹp ,45:58
@Hieu-HighLigh0,tên ah hyt mạnh thí,46:05
@tungduong9245,bị xích ko kéo đc đâu anh,50:17
@ngovanthieu6856,kéo lấy sight bắn ?,50:42
@TraiLe-ri7yu,Grakk rank cao phế lắm,51:48
@thile577,ai nói m grak rank cao phế?,52:07
@TraiLe-ri7yu,Tao nói,52:38
@HuyHoangPham-vc6tw,lại văn rank cao phế,52:45
@Hieu-HighLigh0,grakk hút gì đấy,53:10
@HuyHoangPham-vc6tw,van de tu duy,53:12
@yibae9,Giọng con này buồn ngủ dị,53:40
@TraiLe-ri7yu,Cùng trình chắc nó để m kéo để hút ??,53:44
@KkKk-ve2uh,quen tay bấm c3 ấy mà,53:45
@nguyen1758,Grakk cần phải có người đứng trước mặt lấy sight rồi tank các kiểu mới mạnh chứ team 4 thg máu giấy toàn núp thì Grakk phế lắm,55:03
@nguyenminhvuong7607,da stream r,55:12
@HaiThaiba,mid trận trước hay sao ấy,55:53
@huvo2689,vừa ra lại oẳng rồi,56:55
@ngovanthieu6856,"grak nó đánh bằng áp lực, chứ cứ kéo kiểu kia team bạn không né khéo kéo vẫn trượt :)))",57:28
@nguyen1758,"Làm ván Zata rừng đi a , Zata bỏ mặt nạ berit lên trượng bùng nổ luôn e thấy nó mạnh kinh",58:22
@NamTranThien-jy4eh,:)),58:29
@quanphan4929,anh Chiến giấu nghề r:)),58:35
@BaoHandangiu-u1e,lam gi do anh than rung tgioi,58:45
@quanphan4929,trước thấy đánh eland kinh lắm mà:)),58:50
@uctranphuc624,già rồi,58:56
@TruongGiao2808,Tay chân có tuổi r hở anh :))),59:20
@quanphan4929,cha già r đúng ko,59:23
@ngovanthieu6856,lật được,1:00:20
@TraiLe-ri7yu,Lật kèo r đấy,1:00:21
@ngovanthieu6856,grak kéo ngon tí nữa là lật,1:00:36
@quanphan4929,c3 biron có lộ tàng hình đấy cho ai chx biết:)),1:01:25
@TraiLe-ri7yu,Cây đánh v chịu,1:01:44
@TienVo-iw4jx,vỗ muỗi ác quá,1:01:50
@NamTranThien-jy4eh,bất lực,1:01:53
@quanphan4929,gỗ đánh khét,1:01:58
@ngovanthieu6856,grak kéo về xong đi bộ :)). ulti để trận sau dùng,1:02:05
@nguyen1758,Zata a ơi,1:02:08
@quanphan4929,lại phải đi sp :)),1:02:28
@annastasianguyen1488,trận sau cầm grakk =))),1:02:28
@nguyenhoang6489,,1:02:33
@quanphan4929,để đường bất kì đc mà anh,1:02:44
@ngovanthieu6856,phát đấy nó hút mà cây ko giải kịp là dồn chết ngay ,1:02:45
@kang2095,chuẩn bị mù mắt =)))))),1:02:50
@quanphan4929,nó + điểm nx,1:02:50
@annastasianguyen1488,như bữa vô tế đàn b kéo hụt hả a =))),1:02:55
@TraiLe-ri7yu,Thôi thôi lại - 1 star,1:03:15
@kang2095,+5 sao team bạn,1:03:30
@quanphan4929,anh đi sp lại ko ai gánh:)),1:03:33
@annastasianguyen1488,=)),1:03:43
@quanphan4929,Grak pick đầu nó pick flo counter chết:)),1:04:27
@Snow12675,???,1:04:42
@kang2095,?,1:04:48
@annastasianguyen1488,vẽ vẽ =)),1:04:51
@FWLikenew,=))))))),1:04:53
@TraiLe-ri7yu,Flo chọt thì thôi r,1:04:55
@quanphan4929,tại sao trên đời lại có ng đánh Grak lỏ như vậy:)),1:04:59
@huydecrypter111,thôi ông đừng có bốc phét,1:05:00
