author,message,timestamp
@LongThai-u2b,"có vụ này nữa hả, vãi cả lui 50k:)))))",18:40
@RIENGEM-99,THẰNG TRẺ TRÂU,18:41
@ThuThuỷNinh-x4w,10k 1 thg-)),18:43
@hieucao9133,mua chuộc nhưng kịp thủ đc nên ảnh ko cần ma nx,18:44
@Hentai-e5g,ôi a bánh của e,18:48
@EllieLuu-t4r,ồn thí,18:49
@tuankietmo6405,gáy ngay=))),19:06
@LongThai-u2b,ngầu,19:18
@huyphuc1309Gvl_nguyen,50k đâu,19:19
@anzan0211,hồi tao còn đánh giải mày đâu có vô địch được đâu=)),19:27
@baoluu-m8t,ủa thế lai bâng giải nghệ chx vậy a:))),19:27
@larosa1734,Hi Bang,19:28
@Hentai-e5g,đẹp zai quá a ơi,19:32
@taisui4632,hay thiệt á chớ,19:34
@taisui4632,???????????,19:41
@AnHàđình-c3z,BÂNG đánh tới 2027 anh em nhé,19:48
@hieucao9133,hay quá anh ơi :)))))))))))),19:50
@tuankietmo6405,khó nha bro,19:55
@Ditimvechonyenbinh,pé dâu eo ôi,20:05
@ducminhnguyen5628,het thoiii,20:56
@DrangerVN3504,cs chip ko bâng ,21:09
@ViệtCườngDương-i2q,Bánh giải nghệ đá thêm 1 chút tft như Levi lại hay,21:19
@ccn01.5cuccuong9,biloow,21:26
@ChíBảoVươngĐắc,chào anh lai bón,21:41
@ThắngTrần-w2m,Bâng mùa sau kh đánh nữa hả mọi người,21:53
@tuankhangtv1306,Hé lô anh lai bâng do học nhiều quá nên vô trễ,22:06
@NguyenTrungDung-j6c,đánh tiếp,22:14
@LinhThuyDanhVo8386,Kéo rank khán giả à a,22:30
@Hentai-e5g,iu a bánh,22:51
@huyjustee9878,"Gì v, ByebyeLaiBánh :>>",22:55
@lilshyn1304,hello a,23:30
@Thanhtien-v4d,lật kèo :))),23:41
@leMinhson-o8r,Loo,24:43
@nhatminh4438,hở vụ gfi fv,25:34
@nhatminh4438,sao team nó lạ v,25:49
@hangphuong4944,bảo đảm bâng no bt chs flo,26:54
@tridoung,ua,27:03
@AnHàđình-c3z,đánh với bot à,27:10
@hoangdinhhuy5661,mới có 3 phút thôi đó,27:18
