author,message,timestamp
@fanboytantrung5781,giờ giàu rồi,2:54
@tienhovietminh265,Lai cho thaif ddi ae,2:54
@hoanghuydo3373,hadilao,2:54
@letri4625,ông già,2:54
@gamegame3369,hôm qua off r chủ nhật có oln ko,2:55
@nguyenminhtien4140,M xạo,2:55
@zel1444,hứa phan,2:55
@hahahaha9841,Thôi abe đừng lừa,2:56
@Shitpost2088,GIAU ROI`,2:56
@katsuragishirogami,tính ,2:56
@duyha1734,yo anh ba có skin mới miss fortune chưa,2:56
@HuyLe-yi5dj,baga bỏ ae,2:57
@atbui8002,9 về mà off,2:57
@tiktokgaixinh8856,BEST YASUO XIN KÈO THẦY BEST YASUO XIN KÈO THẦY BEST YASUO XIN KÈO THẦY,2:57
@rep.storm1,2t nó xỉu =))),2:58
@quannguyenviet6199,chut xiu ha ,2:58
@truongkiet7303,đi tăng 2 thì có,3:04
@nguyenhieu-kv5tn,1K view HẾT THỜI,3:05
@hwwjjehs2870,"vô chiến đi , nói nhiều quá ông già",3:06
@thaoanhcvp1,thôi m lại lý luận,3:06
@nhattruongle8337,chơi cờ đi,3:07
@trieuvyxx9600,"dự đoán nào a trung , thứ 5 đánh r",3:07
@anhquoc2264,rồi sủi luôn,3:11
@nguyendinh2055,nghe đồn hôm qua xỉn về đánh cờ top 1 ha,3:21
@duykhangnguyen3201,hello ông già,3:26
@jasonly9703,Chủ Nhật off tiếp ha,3:27
@nguyenminhuc2766,cô lập ,3:28
@sihiep162,ko lẽ ko mời,3:28
@kieuhuong97,m giàu,3:33
@12ta8lehoanghuy4,CỜ ĐÊ THẦY ÊY,3:33
@khabanh623,vào trận đi ông già,3:34
@gamegame3369,ngài 2t xỉn,3:35
@ThaiNguyen-mt7vk,Công an đã xem,3:39
@188nguyenhaison5,hôm qua đi minh tâm hả aba =))),3:40
@huykhoa471,rồi coi chừng f0 ha,3:40
@tainguyenminh6769,cho kèo c1 đi thầy,3:42
@BLUNTMB,vô chiến đi nói nhiều quá aba,3:46
@yoshino1169,k lẻ cho mina noway anne đồ ở nhà cha,3:46
@nguyenvanhungg6,mà cn off nữa =))))))))))),3:47
@sanglephuoc3551,sao aba không tặng anh tú rau đi,3:48
@nghiado8085,cô lập sbtc streamer,3:49
@NamNam-cc8dd,m giàu m bỏ ae,3:50
@seruby2650,ngài 2T vs Nper ác quá,3:52
@zel1444,cho 2 kèo SE đi ông già,3:54
@duykhangnguyen3201,2 ngài mời ác,3:55
@thaoanhcvp1,Dự đoán đê cho ae dọn đồ,3:55
@DuyLe-Nana,ysl ,3:55
@ndh1004,Noway trâu ác,3:56
@ganelesshiro,TÂN HOÀNG MINH ĐI RỒI ÔNG GIÁO Ạ,4:02
@_VoVanHuan-xv9kf,S KH REACTION SAO NHẬP NGŨ ABE,4:03
@hodyaaa1407,2T nó tới luôn,4:09
@kato9804,f0 là sướng luôn,4:09
@leleuc5293,bợm,4:10
@atoan5242,ngài 2T cắm đầu =))),4:11
@gamegame3369,ngài 2t vsnper mời hết bàn kìa,4:13
@quing9337,nó nhậu ghê vcl,4:13
@Kai-vg7nh,2T bay quá,4:14
@phuongphanngoc4502,2T đúng hài,4:15
@dunganh-fd2xf,M yếu,4:17
@nguoicamau2190,reaction ngài 2 T,4:18
@demoofficial2964,chào abe,4:18
@12ta8lehoanghuy4,ao chình,4:19
@libra3861,=))) nó dập abe lên bờ xuống ruộng,4:20
@VietNguyen-ew9vv,dân bắc bọn e chiến v đó a:))))),4:20
@minhucoan6214,AD 2 ly gục ngã ,4:22
@hoangphaminh4146,anh ba em yêu anh nhiều lắm ,4:23
@angvinhxuyen4495,m yếu,4:27
@phuc1496,tui đi Minh Tâm,4:27
@phuc2409,2 ngài cũng mời tới luôn,4:27
@longpham-fv1ee,2T ngat luon,4:28
@hongtiencajuput3737,sao zeross ko di aba,4:29
@thaoanhcvp1,m ngộp m yếu,4:30
@etran9035,abe thaya,4:30
@vankhoi925,về ghé minh tâm cái,4:30
@nguyenquocthanh7713,nghe vui thôi,4:31
@sihiep162,say vẫn chạy về,4:31
@ThinhNguyen-jh3qj,2h dậy stream,4:31
@trunghieu1950,toi ben' luon,4:34
@_VoVanHuan-xv9kf,S KH REACTION SAO NHẬP NGŨ ABE,4:34
@quannguyenviet6199,di matxa,4:35
@nhattrinhnguyen3802,2h đêm ?????????,4:35
@concodeu13,còn thằng pặc pặc,4:35
@duyha1734,anh Trung có skin mới miss fortune chưa,4:36
@DuyLe-Nana,ngài 2T tới cháo lái ,4:37
@nguyenvanhungg6,em thấy aba chơi cờ với a nghiêm nữa mà,4:43
@uctoan4321,2h dậy chơi gme xíu ,4:44
@not3pig901,um,4:45
@Messiuuuu1717,abe yếu,4:49
@hoangphaminh4146,anh ba em yêu anh nhiều lắm ,4:54
@gamegame3369,2t vs nper nó mời hết bàn luôn,4:54
@buitien3477,sống giờ Mỹ,4:55
@tainguyenminh6769,cho kèo c1 đi thầy,4:57
@hieuFGG911,:))))),4:57
@Đồng2oxit,factos,4:57
@ngominhphu6559,factos,4:58
@Tommy-dk5zg,factos,4:58
@AnhTu-tj3ut,quê,4:58
@johnnguyen7084,? dnt,4:58
@BLUNTMB,vô game đi aba,4:58
@cozyboy257,:)),4:59
@kieuhuong97,;))),5:03
@cyan3745,:)),5:05
@vankhoi925,:)))),5:05
@tranquang2476,hello cck iu ,5:06
@quannguyenviet6199,factos,5:06
@25.thanhowen32,factors,5:07
@manhchien599,factos,5:09
@Shitpost2088,smell,5:09
@longpham-fv1ee,sao ko stream,5:10
@zel1444,:))),5:13
@namvuong294,:))) để chi,5:15
@libra3861,Nói cho dân chúng biết,5:16
@hieuanh2580,aba chơi lớn làm cú SE đi MSI đi a,5:19
@SiOhehe,2k hết thời,5:21
@ThaiNguyen-mt7vk,cày tuê,5:25
@hoangphaminh4146,anh ba em yêu anh nhiều lắm ,5:26
@tranquang9086,sao m k stream,5:26
@kato9804,chơi game vs ma,5:34
@tuanemoffical667,yêu thầy huấn,5:36
@KONot-zd5vw,hi abe,5:40
@TrongLion,Anh Ba sống giờ mỹ :)),5:40
@larlarlar7918,bangubeo,5:48
@liemlethanh9421,Like cho aba nào mọi người  ,5:48
